,0,1,2,3,4
0,USA-CA,True,2021-02-28 07:19:02,,
1,USA-DE,True,2021-02-28 07:09:22,,
2,USA-CA,True,2021-02-28 07:05:37,,
3,USA-CA,True,2021-02-28 07:00:10,,
4,USA-FL,True,2021-02-28 06:57:39,,
5,USA-NY,True,2021-02-28 06:54:28,RTX 3070,
6,USA-CA,True,2021-02-28 06:54:08,,
7,USA-CA,True,2021-02-28 06:39:22,,
8,USA-GA,True,2021-02-28 06:34:21,,
9,USA-TX,True,2021-02-28 06:34:07,RTX 3070,
10,USA-CA,True,2021-02-28 06:32:49,,
11,USA-CA,True,2021-02-28 06:31:36,,
12,USA-CA,True,2021-02-28 06:28:37,,
13,USA-CA,True,2021-02-28 06:23:58,,
14,USA-CA,True,2021-02-28 06:21:59,,
15,CAN-ON,True,2021-02-28 06:19:22,,
16,USA-NY,True,2021-02-28 06:18:04,,
17,USA-CA,True,2021-02-28 06:15:05,,
18,USA-NY,True,2021-02-28 06:05:34,,
19,USA-CA,True,2021-02-28 05:59:05,,
20,USA-ID,True,2021-02-28 05:58:23,,
21,USA-GA,True,2021-02-28 05:46:15,,
22,USA-CA,True,2021-02-28 05:42:23,,
23,USA-MI,True,2021-02-28 05:39:10,,
24,USA-OK,True,2021-02-28 05:37:47,,
25,USA-MI,True,2021-02-28 05:30:39,,
26,USA-OH,True,2021-02-28 05:25:28,,
27,USA-FL,True,2021-02-28 05:21:21,,
28,USA-OR,True,2021-02-28 05:20:19,,
29,USA-NY,True,2021-02-28 05:16:27,,
30,USA-TX,True,2021-02-28 05:13:48,,
31,USA-TX,True,2021-02-28 05:02:08,,
32,USA-UT,True,2021-02-28 04:50:22,,
33,USA-FL,True,2021-02-28 04:37:28,,
34,USA-NC,True,2021-02-28 04:35:40,,
35,USA-NC,True,2021-02-28 04:35:33,,
36,USA-CA,True,2021-02-28 04:34:51,,
37,USA-MN,True,2021-02-28 04:34:46,,
38,USA-MN,True,2021-02-28 04:34:46,,
39,USA-PA,True,2021-02-28 04:27:38,RTX 3070,
40,USA-AR,True,2021-02-28 04:23:59,,
41,USA-SC,True,2021-02-28 04:21:41,,
42,USA-CA,True,2021-02-28 04:15:12,RTX 2070,550.
43,USA-CA,True,2021-02-28 04:10:22,,
44,USA-NY,True,2021-02-28 04:10:13,,
45,USA-TX,True,2021-02-28 04:09:53,,
46,USA-OK,True,2021-02-28 04:08:35,,
47,USA-FL,True,2021-02-28 04:07:29,,
48,USA-TX,True,2021-02-28 04:02:30,,
49,USA-CO,True,2021-02-28 04:02:11,,
50,USA-PA,True,2021-02-28 03:57:53,,
51,USA-IL,True,2021-02-28 03:55:18,,
52,USA-TX,True,2021-02-28 03:53:34,,
53,USA-FL,True,2021-02-28 03:40:22,,
54,USA-CA,True,2021-02-28 03:35:38,,
55,USA-CA,True,2021-02-28 03:34:52,,
56,USA-FL,True,2021-02-28 03:31:50,,
57,USA-CA,True,2021-02-28 03:30:04,,
58,USA-MI,True,2021-02-28 03:29:16,,
59,USA-TX,True,2021-02-28 03:28:16,,
60,USA-SC,True,2021-02-28 03:27:47,,
61,USA-CA,True,2021-02-28 03:24:59,GeForce GTX 1070,
62,USA-NY,True,2021-02-28 03:23:32,,
63,USA-MN,True,2021-02-28 03:21:20,,
64,USA-KY,True,2021-02-28 03:21:12,,
65,USA-PA,True,2021-02-28 03:20:39,,
66,USA-CA,True,2021-02-28 03:20:04,,
67,USA-SC,True,2021-02-28 03:18:20,,
68,USA-TX,True,2021-02-28 03:17:06,,
69,USA-NC,True,2021-02-28 03:14:22,,
70,USA-WA,True,2021-02-28 03:09:39,,
71,USA-DC,True,2021-02-28 03:03:25,,
72,USA-WA,True,2021-02-28 03:02:52,,
73,USA-AZ,True,2021-02-28 03:01:14,,
74,USA-GA,True,2021-02-28 03:00:58,,
75,USA-NY,True,2021-02-28 02:58:51,,
76,USA-PA,True,2021-02-28 02:57:19,,
77,USA-CA,True,2021-02-28 02:56:17,RTX 2070,
78,USA-GA,True,2021-02-28 02:55:23,,
79,USA-GA,True,2021-02-28 02:53:31,,
80,USA-FL,True,2021-02-28 02:48:28,,
81,USA-AZ,True,2021-02-28 02:45:50,,
82,USA-OH,True,2021-02-28 02:45:38,RX 6800,
83,USA-NY,True,2021-02-28 02:43:18,,
84,USA-NY,True,2021-02-28 02:40:52,,
85,USA-NY,True,2021-02-28 02:38:49,,
86,USA-CA,True,2021-02-28 02:34:21,,
87,USA-CA,True,2021-02-28 02:33:42,,
88,USA-NY,True,2021-02-28 02:32:58,,
89,USA-CA,True,2021-02-28 02:27:32,,
90,USA-TX,True,2021-02-28 02:27:26,,
91,USA-SC,True,2021-02-28 02:24:53,,
92,USA-VA,True,2021-02-28 02:24:00,,
93,USA-FL,True,2021-02-28 02:22:33,,
94,USA-WV,True,2021-02-28 02:20:29,,
95,USA-CO,True,2021-02-28 02:18:37,,
96,USA-FL,True,2021-02-28 02:13:28,,
97,USA-IN,True,2021-02-28 02:11:55,,
98,USA-TX,True,2021-02-28 02:11:00,,
99,USA-NYC,True,2021-02-28 02:05:13,RTX 3090,
100,USA-IN,True,2021-02-28 02:00:56,,
101,USA-UT,True,2021-02-28 01:59:17,,
102,USA-VA,True,2021-02-28 01:55:59,RTX 3080,1200
103,USA-FL,True,2021-02-28 01:53:43,,
104,USA-CA,True,2021-02-28 01:46:03,,
105,USA-NY,True,2021-02-28 01:45:22,,
106,USA-MD,True,2021-02-28 01:42:30,,
107,USA-MA,True,2021-02-28 01:31:44,,
